 memarahkan | marah 
 marahan | marah 
 pemarah | marah 
 kemarahan | marah 
 kemarah-marahan | marah 
 marah-marah | marah 
 memodernisasi | modernisasi 
 memoncongkan | moncong 
 bermoncong | moncong 
 beromong-omong | omong 
 mengomong | omong 
 mengomongkan | omong 
 omongan | omong 
 pengomongan | omong 
 memadami | padam 
 memadamkan | padam 
 pemadam | padam
 pendamba | damba 
 dambaan | damba 
 berdaulat | daulat 
 memberdayakan | daya 
 terpedaya | daya 
 perdayaan | daya 
 perdayaan | daya 
 memperdayakan | daya 
 berdaya | daya 
 kedermawanan | dermawan 
 mengefektifkan | efektif 
 keefektifan | efektif 
 mengefisienkan | efisien 
 berempati | empati 
 mengenakan | enak 
 terenak | enak 
 memperenak | enak 
 seenaknya | enak 
 keenakan | enak 
 mempererat | erat 
 mengeratkan | erat 
 menggagahkan | gagah 
 menggagah | gagah 
 menggagahi | gagah 
 kegagahan | gagah 
 mempertampan | ganteng 
 ketampanan | ganteng 
 penggemar | gemar 
 menggemarkan | gemar 
 menggemari | gemar 
 bergemar | gemar 
 kegemaran | gemar 
 kegemilangan | gemilang 
 mengencarkan | gencar 
 menggencar | gencar 
 kegigihan | gigih 
 menghadirkan | hadir 
 menghadiri | hadir 
 kehadiran | hadir 
 mengharap | harap 
 mengharapkan | harap 
 harapan | harap 
 berpengharapan | harap 
 pengharapan | harap 
 berharap | harap 
 keharuan | haru 
 keterharuan | haru 
 terharu | haru 
 mengharukan | haru 
 keharuman | harum 
 mengharumi | harum 
 mengharumkan | harum 
 memperhebat | hebat 
 menghebatkan | hebat 
 kehebatan | hebat 
 menghebohkan | heboh 
 kehebohan | heboh 
 penghematan | hemat 
 menghemat | hemat 
 berhemat | hemat 
 penghibahan | hibah 
 menghibahkan | hibah 
 menghormati | hormat 
 terhormat | hormat 
 penghormatan | hormat 
 kehormatan | hormat 
 mengidelakan | ideal 
 mengikhlaskan | ikhlas 
 keikhlasan | ikhlas 
 berpartisipasi | ikut serta 
 terindah | indah 
 memperindah | indah 
 keindahan | indah 
 berinisiatif | inisiatif 
 teristimewa | istimewa 
 mengistimewakan | istimewa 
 keistmewaan | istimewa 
 terjaga | jaga 
 penjaga | jaga 
 penjagaan | jaga 
 berjaga-jaga | jaga 
 menjaga | jaga 
 jaminan | jamin 
 kerukunan | rukun 
 bersabar | sabar 
 mempersabar | sabar 
 penyabar | sabar 
 kesabaran | sabar 
 tersadar | sadar 
 kesadaran | sadar 
 mempersahabatkan | sahabat 
 bersahabat | sahabat 
 persahabatan | sahabat 
 menyanggupi | sanggup 
 menyanggupkan | sanggup 
 kesanggupan | sanggup 
 tersanjung | sanjung 
 penyanjung | sanjung
 penyanjungan | sanjung 
 sanjungan | sanjung 
 menyantuni | santun 
 santunan | santun 
 penyantu | santun 
 penyantunan | santun 
 menyayangi | sayang 
 penyayang | sayang 
 kesayangan | sayang 
 penyederhanaan | sederhana 
 menyederhanakan | sederhana 
 kesederhanaan | sederhana 
 menyegarkan | segar 
 penyegaran | segar 
 penyegar | segar 
 mempersegar | segar 
 kesegaran | segar 
 menyehatkan | sehat 
 penyehat | sehat 
 penyehatan | sehat 
 kesehatan | sehat 
 menyejahterakan | sejahtera 
 penyejahteraan | sejahtera 
 kesejahteraan | sejahtera 
 keselamatan | selamat 
 penyelamat | selamat 
 penyelamatan | selamat 
 menyelamatkan | selamat 
 terselesaikan | selesai 
 keselesaian | selesai 
 penyelesaian | selesai 
 menyelesaikan | selesai 
 menyempurnakan | sempurna 
 penyempurna | sempurna 
 kesempurnaan | sempurna 
 tersenyum | senyum 
 senyuman | senyum 
 menyerasikan | serasi 
 penyerasian | serasi 
 keserasian | serasi 
 keserbagunaan | serbaguna 
 menyeriusi | serius 
 keseriusan | serius 
 kesetiaan | setia 
 bersiap sedia | siap sedia 
 memegahkan | megah 
 kemegahan | megah 
 kewajaran | wajar 
 meyakinkan | yakin 
 keyakinan | yakin 
 berkeyakinan | yakin 
 meyakini | yakin 
 mengabsen | absen 
 mengadu | adu 
 mengadukan | adu 
 memperadukan | adu 
 aduan | adu 
 pengadu | adu 
 pengaduan | adu 
 peraduan | adu 
 beradu | adu 
 mengadudombakan | adu domba 
 teradu domba | adu domba 
 memperadudombakan | adu domba 
 pengadu domba | adu domba 
 pengadudombaan | adu domba 
 mengadu domba | adu domba 
 keaiban | aib 
 mengaibkan | aib 
 berakhlak buruk | akhlak buruk 
 beramuk-amuk | amuk 
 beramuk-amukan | amuk 
 mengamuk | amuk 
 mengamukan | amuk 
 amukan | amuk 
 pengamuk | amuk 
 pengamukan | amuk 
 beramuk | amuk 
 mengancamkan | ancam 
 terancam | ancam 
 ancaman | ancam 
 pengancam | ancam 
 pengancaman | ancam 
 mengancam | ancam 
 keangkuhan | angkuh 
 menganiayai | aniaya 
 teraniaya | aniaya
 penganiaya	aniaya 
 penganiayaan | aniaya 
 menganiaya | aniaya 
 mengazabkan | azab 
 mengazab | azab 
 membabi | babi 
 membahayakan | bahaya 
 berbahaya | bahaya 
 membalas dendam | balas dendam 
 kebancian | banci 
 kebanditan | bandit 
 membandit | bandit 
 membasikan | basi 
 kebasian | basi 
 membasi | basi 
 kebejatan | bejat 
 membejatkan | bejat 
 membencikan | benci 
 pembenci | benci 
 kebencian | benci 
 menggugupkan | gugup 
 gunjingan | gunjing 
 mempergunjingkan | gunjing 
 pergunjingan | gunjing 
 menggunjingkan | gunjing 
 menggunjing | gunjing 
 bergunjing | gunjing 
 kegusaran | gusar 
 menggusarkan | gusar 
 menggusari | gusar 
 penghambatan | hambat 
 penghambat | hambat 
 hambatan | hambat 
 terhambat-hambat | hambat 
 menghambat | hambat 
 pengharaman | haram 
 mengharamkan | haram 
 keheran-heranan | heran 
 keheranan | heran 
 terheran-heran | heran 
 mengherankan | heran 	
 mengherani | heran 
 menghinakan | hina 
 sehina | hina 
 kehinaan | hina 
 penghinaan | hina 
 hinaan | hina 
 terhina | hina 
 hina-menghinakan | hina 
 menghina | hina 
 berhina | hina 
 pengingkaran | ingkar 
 keingkaran | ingkar 
 mengingkari | ingkar 
 mengisengi | iseng 
 kejalangan | jalang 
 menjalang | jalang 
 merampasi | rampas 
 rampasan | rampas 
 perampas | rampas 
 perampasan | rampas 
 merampas | rampas 
 kejanggalan | janggal 
 menjanggalkan | janggal 
 terjebak | jebak 
 jebakan | jebak 
 penjebak | jebak 
 penjebakan | jebak 
 menjebak | jebak 
 menjegal | jegal 
 kejelekan | jelek 
 menjelekkan | jelek 
 kejenuhan | jenuh 
 penjenuhan | jenuh 
 menjenuhkan | jenuh 
 kekaburan | kabur 
 mengaburkan | kabur 
 mengabur | kabur 
 mengacaukan | kacau 
 memperkacaukan | kacau 
 terkacau | kacau 
 kacauan | kacau 
 pengacau | kacau 
 pengacauan | kacau 
 mengacau | kacau 
 merugi | rugi 
 berugi | rugi 
 kerumitan | rumit 
 rumitan | rumit 
 merumitkan | rumit
 kerusuhan | rusuh 
 perusuhan | rusuh 
 munajatnya | munajat 
 menasehati | nasehat 
 dinasehati | nasehat 
 nasehatnya | nasehat 
 penasehat | nasehat 
 senikmat | nikmat 
 menikmati | nikmat 
 nikmatnya | nikmat 
 ternikmat | nikmat 
 kenikmatan | nikmat 
 dinikmati | nikmat 
 penikmat | nikmat 
 keobyektifan | obyektif 
 keoptimistisan | optimistis 
 pantangan | pantang 
 dipantang | pantang 
 kepantasan | pantas 
 memantaskan | pantas 
 dipantaskan | pantas 
 pemantas | pantas 
 pantasnya | pantas 
 berpartisipasi | partisipasi 
 partisipasinya | partisipasi 
 kepatriotan | patriot 
 kepatutan | patut 
 patutnya | patut 
 permainya | permai 
 kepiawaian | piawai 
 piawainya | piawai 
 memihak | pihak 
 berpihak | pihak 
 pihaknya | pihak 
 keberpihakan | pihak 
 pemihak | pihak 
 kepintaran | pintar 
 pintarnya | pintar 
 ketakjuban | takjub 
 menakjubkan | takjub 
 takjubnya | takjub 
 ketampanan | tampan 
 tampannya | tampan 
 ditanggapi | tanggap 
 menanggapi | tanggap 
 tanggapnya | tanggap 
 tanggapan | tanggap 
 ketangguhan | tangguh 
 ditangguhkan | tangguh 
 menangguhkan | tangguh 
 tegapnya | tegap 
 tekadnya | tekad 
 bertekad | tekad 
 ketelatenan | telaten 
 penerima | terima 
 menerima | terima 
 diterima | terima 
 penerimaan | terima 
 diterimanya | terima 
 toleransi | toleran 
 keutuhan | utuh 
 utuhnya | utuh 
 kevalidan | valid 
 validnya | valid 
 validasi | valid 
 abal-abalan | abal abal 
 mengaborsi | aborsi 
 diaborsi | aborsi 
 pengaborsi | aborsi 
 keabstainan | abstain 
 keabsurdan | absurd 
 absurdnya | absurd 
 acak-acakan | acak 
 pengacak | acak 
 mengacak | acak 
 keagresifan | agresif 
 agresifnya | agresif 
 mengalpakan | alpa 
 kealpaan | alpa 
 keanarkisan | anarkis 
 anarkisnya | anarkis 
 apatisme | apatis 
 keapesan | apes 
 apesnya | apes 
 arogansi | arogan 
 keasusilaan | asusila 
 memperbabu | babu 
 kebadungan | badung 
 badungnya | badung 
 kebakhilan | bakhil 
 bakhilnya | bakhil 
 terbakhil | bakhil 
 kebandelan | bandel 
 bandelnya | bandel 
 terbandel | bandel 
 membanjiri | banjir 
 kebanjiran | banjir 
 kebatilan | batil 
 batilnya | batil 
 kebawelan | bawel 
 bawelnya | bawel 
 terbawel | bawel 
 bebalnya | bebal 
 terbebal | bebal 
 kebebalan | bebal 
 kebegoan | bego 
 begonya | bego 
 belangnya | belang 
 belelnya | belel 
 pembelot | belot 
 membelot | belot 
 pembelotan | belot 
 kebencongan | bencong 
 kebengalan | bengal 
 bengalnya | bengal 
 terbengal | bengal 
 membentrok | bentrok 
 bentrokan | bentrok 
 pembentrokan | bentrok 
 berbentrok | bentrok 
 membentur | bentur 
 membenturkan | bentur 
 terbentur | bentur 
 benturan | bentur 
 pembenturan | bentur 
 berberaian | berai 
 memberai-beraikan | berai 
 semampu | mampu 
 berkemampuan | mampu 
 kemampuan | mampu 
 pemanis | manis 
 kemanisan | manis 
 semanis | manis 
 memanis | manis 
 memanisi | manis 
 memaniskan | manis 
 manisan | manis 
 bermanis | manis 
 kemanjuran | manjur 
 kemaslahatan | maslahat 
 menganugerahi | anugerah 
 penganugerahan | anugerah 
 menganugerahkan | anugerah 
 mengarifkan | arif 
 kearifan | arif 
 mengarifi | arif 
 keaslian | asli 
 kebekenan | beken 
 berbelasungkawa | belasungkawa 
 kebeliaan | belia 
 pembenahan | benah 
 membenahi | benah 
 meragukan | ragu 
 keraguan | ragu 
 merampok | rampok 
 perampok | rampok 
 perampokan | rampok 
 perapuh | rapuh 
 kerapuhan | rapuh 
 merapuhkan | rapuh 
 peremukan | remuk 
 peremuk | remuk 
 meremukan | remuk 
 kerendahan | rendah 
 keprihatinan | prihatin 
 memudar | pudar 
 memudarkan | pudar 
 pemudaran | pudar 
 memupuskan | pupus 
 memupus | pupus 
 terpupus | pupus 
 meradikalkan | radikal 
 ragu-ragu | ragu 
 kelaikan | laik 
 kelanggengan | langgeng 
 berleluasa | leluasa 
 meleluasakan | leluasa 
 keleluasaan | leluasa 
